Name,Brand,Family,Notes,Description
Bleu de Chanel,Chanel,Woody,Cedar Vetiver Sandalwood,Un parfum lemnos-aromatic, profund și misterios pentru lideri.
Coco Mademoiselle,Chanel,Floral,Orange Jasmine Rose,Esența unei femei libere și îndrăznețe. Oriental-proaspăt.
Chanel No 5,Chanel,Floral,Aldehydes Jasmine Neroli,Cel mai faimos parfum din lume. Un buchet floral atemporal.
Chance Eau Tendre,Chanel,Fruity,Quince Grapefruit Hyacinth,Un parfum floral-fructat, plin de tandrețe și poezie.
Allure Homme Sport,Chanel,Citrus,Orange Sea-Notes Cedar,O compoziție proaspătă și senzuală, pentru bărbatul activ.
Gabrielle,Chanel,Floral,Ylang-Ylang Jasmine Tuberose,Un parfum solar construit în jurul a patru flori albe.
Antaeus,Chanel,Leather,Labdanum Leather Sage,Un parfum puternic pentru un caracter complex.
Egoiste Platinum,Chanel,Woody,Lavender Rosemary Petitgrain,Pentru bărbatul extrovertit și provocator.
Sauvage,Dior,Aromatic,Bergamot Pepper Amberwood,O compoziție brută și nobilă inspirată de deșert.
J'adore,Dior,Floral,Ylang-Ylang Rose Jasmine,Un buchet grandios și feminin, simbol al luxului absolut.
Fahrenheit,Dior,Leather,Violet Leather Nutmeg,Un parfum revoluționar, cald și rece în același timp.
Miss Dior,Dior,Floral,Rose Peony Musk,Un imn al dragostei. Note proaspete și senzuale.
Dior Homme Intense,Dior,Woody,Iris Ambrette Cocoa,Iris, ambră și cacao. Un parfum sofisticat și pudrat.
Poison,Dior,Oriental,Plum Tuberose Coriander,Un parfum provocator și misterios, arma seducției supreme.
Joy,Dior,Floral,Bergamot Rose Musk,O odă adusă plăcerii și vieții, vibrant și plin de lumină.
Hypnotic Poison,Dior,Gourmand,Almond Vanilla Jasmine,Un parfum magnetic cu note de vanilie și migdale amare.
Black Orchid,Tom Ford,Oriental,Truffle Orchid Chocolate,Luxos și senzual, cu note de orhidee neagră și condimente.
Oud Wood,Tom Ford,Woody,Oud Sandalwood Amber,Lemn de oud rar și condimente exotice. Exclusivist.
Tobacco Vanille,Tom Ford,Spicy,Tobacco Vanilla Tonka,Opulent și cald. Tutun, vanilie și fructe uscate.
Neroli Portofino,Tom Ford,Citrus,Neroli Bergamot Lemon,Briză italiană. O reinventare a apei de colonie clasice.
Lost Cherry,Tom Ford,Gourmand,Cherry Almond Liquor,Cireșe negre coapte, migdale și lichior. Dulce și tentant.
Tuscan Leather,Tom Ford,Leather,Leather Suede Thyme,Un parfum de piele brută, sofisticat și nocturn.
Grey Vetiver,Tom Ford,Woody,Vetiver Grapefruit Sage,Eleganta clasică a vetiverului pentru gentlemanul modern.
Ombre Leather,Tom Ford,Leather,Leather Cardamom Jasmine,Libertatea vastă a deșertului american.
Gucci Bloom,Gucci,Floral,Tuberose Jasmine Rangoon,O grădină bogată de flori albe care te transportă în natură.
Gucci Guilty Pour Homme,Gucci,Aromatic,Lemon Lavender Patchouli,Lemnos și aromatic, o declarație modernă de libertate.
Gucci Flora Gorgeous Gardenia,Gucci,Floral,Pear Gardenia Brown-Sugar,Un parfum vesel, construit în jurul florii de Gardenia.
Gucci Rush,Gucci,Chypre,Peach Patchouli Coriander,Un cocktail impulsiv și irezistibil de flori exotice.
Gucci Memoire d'une Odeur,Gucci,Aromatic,Chamomile Musk Sandalwood,Un parfum universal, mineral și aromatic.
Acqua di Gio,Giorgio Armani,Aquatic,Sea-Notes Lime Lemon,Inspirat de mare, soare și vânt. Note marine și citrice.
Armani Code,Giorgio Armani,Oriental,Leather Tonka-Bean Anise,Un parfum seducător. Note de floare de portocal și miere.
Si,Giorgio Armani,Chypre,Cassis Rose Vanilla,Elegant și modern. Nectar de coacăze negre și lemn blond.
Acqua di Gioia,Giorgio Armani,Aquatic,Mint Lemon Jasmine,Esența bucuriei. Mentă, lămâie și iasomie de apă.
Stronger With You,Giorgio Armani,Spicy,Cardamom Vanilla Chestnut,Imprevizibil și surprinzător. Dulce și condimentat.
My Way,Giorgio Armani,Floral,Tuberose Jasmine Bergamot,Un parfum pentru femeia deschisă la noi orizonturi.
YSL Libre,Yves Saint Laurent,Floral,Lavender Orange-Blossom Vanilla,Lavandă din Franța și floare de portocal din Maroc.
Black Opium,Yves Saint Laurent,Gourmand,Coffee Vanilla Pear,Adrenalină pură. Cafea neagră și flori albe.
Y,Yves Saint Laurent,Aromatic,Bergamot Sage Ginger,Proaspăt și îndrăzneț. Pentru generația creativă.
L'Homme,Yves Saint Laurent,Woody,Ginger Bergamot Cedar,Un echilibru perfect între brut și prețios.
Mon Paris,Yves Saint Laurent,Fruity,Strawberry Raspberry Patchouli,Un parfum amețitor inspirat de Parisul îndrăgostiților.
La Nuit de L'Homme,Yves Saint Laurent,Spicy,Cardamom Lavender Cedar,Un parfum de seară, seducător și plin de contraste.
Versace Eros,Versace,Aromatic,Mint Apple Lemon,Mentă, măr verde și lămâie. Un parfum pentru un zeu modern.
Versace Bright Crystal,Versace,Floral,Yuzu Pomegranate Peony,Senzualitate pură, transparență de cristal și strălucire.
Versace Dylan Blue,Versace,Aquatic,Fig-Leaf Water-Notes Bergamot,Note acvatice intense combinate cu frunze de smochin.
Versace Pour Homme,Versace,Citrus,Lemon Neroli Cedar,Un clasic modern mediteranean.
Crystal Noir,Versace,Oriental,Ginger Cardamom Pepper,Misterios și condimentat. O gardenie "neagră" și senzuală.
Versace Eros Flame,Versace,Spicy,Mandarin Pepper Rosemary,Focul pasiunii. Citrice și condimente picante.
1 Million,Paco Rabanne,Spicy,Cinnamon Leather Amber,Extravagant și strălucitor ca un lingou de aur.
Invictus,Paco Rabanne,Aquatic,Sea-Notes Grapefruit Bay-Leaf,Esența victoriei. Note marine și laur.
Olympéa,Paco Rabanne,Oriental,Salt Vanilla Jasmine,O divinitate modernă. Vanilie sărată și iasomie.
Pure XS,Paco Rabanne,Oriental,Vanilla Myrrh Ginger,Exces în stare pură. Ghimbir și vanilie.
Lady Million,Paco Rabanne,Floral,Raspberry Jasmine Honey,Vibrant și senzual. Miere și flori albe.
Le Male,Jean Paul Gaultier,Oriental,Lavender Mint Vanilla,Lavandă și vanilie. Un clasic nonconformist.
Scandal,Jean Paul Gaultier,Gourmand,Honey Blood-Orange Patchouli,Miere, gardenie și patchouli. Scandalos de delicios.
Classique,Jean Paul Gaultier,Floral,Rose Ginger Vanilla,O femeie fatală într-un corset. Trandafir și vanilie.
Ultra Male,Jean Paul Gaultier,Fruity,Pear Lavender Vanilla,O versiune mai intensă și condimentată a clasicului Le Male.
La Vie Est Belle,Lancome,Gourmand,Iris Praline Vanilla,Iris pallida, iasomie și floare de portocal. Fericire pură.
Idole,Lancome,Floral,Rose Jasmine Pear,Trandafir și iasomie. Pentru femeile care visează măreț.
Tresor,Lancome,Oriental,Peach Rose Amber,Dragoste prețioasă. Trandafir, piersică și ambră.
Miracle,Lancome,Floral,Lychee Ginger Magnolia,Un parfum vibrant ca începutul unei noi zile.
Terre d'Hermes,Hermes,Woody,Orange Pepper Vetiver,O poveste despre alchimie. Portocală, piper și silex.
H24,Hermes,Aromatic,Sage Narcissus Rosewood,Un parfum high-tech, inspirat din natură și tehnologie.
Twilly d'Hermes,Hermes,Floral,Ginger Tuberose Sandalwood,Ghimbir picant și tuberoză. Pentru spiritul tânăr.
Boss Bottled,Hugo Boss,Woody,Apple Cinnamon Sandalwood,Măr, scorțișoară și lemn de santal. Pentru bărbatul de succes.
Boss The Scent,Hugo Boss,Spicy,Ginger Maninka Leather,Seducție magnetică. Fructul Maninka și piele.
Hugo Man,Hugo Boss,Aromatic,Green-Apple Mint Fir,Proaspăt și energic. Măr verde și note de pădure.
CK One,Calvin Klein,Citrus,Lemon Green-Tea Papaya,Un parfum iconic unisex. Ceai verde și citrice.
Euphoria,Calvin Klein,Oriental,Pomegranate Orchid Mahogany,Exotic și misterios. Rodie și orhidee neagră.
Eternity,Calvin Klein,Floral,Sage Mandarin Lily,Un imn al iubirii eterne. Flori albe și citrice.
Good Girl,Carolina Herrera,Oriental,Tuberose Tonka Cocoa,Dualitate feminină. Iasomie (bună) și cacao (rea).
Bad Boy,Carolina Herrera,Spicy,Pepper Bergamot Cocoa,Piper negru și alb, cu bergamotă italiană.
212 VIP Men,Carolina Herrera,Oriental,Vodka Mint Passionfruit,Parfumul petrecerilor exclusiviste din New York.
Light Blue Pour Homme,Dolce & Gabbana,Citrus,Grapefruit Bergamot Pepper,Mandarină siciliană și coajă de grapefruit.
The One,Dolce & Gabbana,Oriental,Tobacco Amber Ginger,Note de tutun și condimente rafinate.
K by Dolce & Gabbana,Dolce & Gabbana,Woody,Juniper Citrus Cedar,Citrice mediteraneene și lemn de cedru.
L'Imperatrice,Dolce & Gabbana,Fruity,Watermelon Kiwi Rhubarb,Fructe exotice și flori roz. Magnetic și suculent.
Aventus,Creed,Chypre,Pineapple Birch Musk,Cel mai apreciat parfum de nișă. Ananas, mesteacăn și mosc.
Green Irish Tweed,Creed,Aromatic,Verbena Iris Sandalwood,O plimbare prin câmpiile Irlandei. Clasic și elegant.
Silver Mountain Water,Creed,Aromatic,Tea Blackcurrant Musk,Inspirat de aerul rece al munților Alpi.
Baccarat Rouge 540,Maison Francis Kurkdjian,Oriental,Saffron Ambergris Cedar,Un fenomen global. Șofran, ambră și lemn de cedru.
Santal 33,Le Labo,Woody,Sandalwood Leather Cardamom,Un cult-classic. Lemn de santal, piele și papirus.
Noir 29,Le Labo,Aromatic,Fig-Leaf Tobacco Cedar,O odă frunzei de ceai negru și smochin.
Gypsy Water,Byredo,Woody,Juniper Pine Vanilla,O celebrare a stilului de viață nomad. Ienupăr și vanilie.
Bal d'Afrique,Byredo,Oriental,Vetiver Marigold Lemon,Cald și romantic, inspirat de Parisul anilor '20.
Mojave Ghost,Byredo,Floral,Sapodilla Magnolia Musk,Floarea fantomă a deșertului Mojave.
English Pear & Freesia,Jo Malone,Chypre,Pear Freesia Patchouli,Toamna într-o sticlă. Pere coapte și frezii albe.
Wood Sage & Sea Salt,Jo Malone,Aromatic,Sea-Salt Sage Grapefruit,Evadare pe țărmul mării. Sare și salvie.
Lime Basil & Mandarin,Jo Malone,Citrus,Lime Basil Mandarin,Un clasic modern. Busuioc picant și cimbru alb.
Jazz Club,Maison Margiela,Leather,Rum Tobacco Vanilla,Atmosfera unui club de jazz din Brooklyn. Rom și tutun.
By the Fireplace,Maison Margiela,Woody,Chestnut Vanilla Clove,Senzația de a sta lângă șemineu iarna. Castane și lemn ars.
Beach Walk,Maison Margiela,Floral,Coconut Ylang-Ylang Musk,O plimbare pe plajă într-o zi de vară. Cocos și mosc.
Blackberry & Bay,Jo Malone,Fruity,Blackberry Bay-Leaf Cedar,Amintiri din copilărie la cules de mure.
Flowerbomb,Viktor&Rolf,Floral,Orchid Jasmine Rose,O explozie florală. Orhidee, iasomie și trandafir.
Spicebomb,Viktor&Rolf,Spicy,Cinnamon Tobacco Leather,Un cocktail exploziv de virilitate. Condimente și tutun.
Angel,Thierry Mugler,Gourmand,Patchouli Chocolate Caramel,Primul parfum gurmand din istorie. Dulce și intens.
Alien,Thierry Mugler,Oriental,Jasmine Amber Wood,O zeitate solară. Iasomie Sambac și lemn de Cashmeran.
Narciso Rodriguez For Her,Narciso Rodriguez,Floral,Musk Rose Amber,Un parfum bazat pe mosc egiptean. Extrem de feminin.
Prada L'Homme,Prada,Woody,Iris Neroli Amber,Parfumul curățeniei absolute. Iris și neroli.
Prada Candy,Prada,Gourmand,Caramel Musk Benzoin,Excesiv și impulsiv. Caramel și mosc alb.
Valentino Uomo,Valentino,Leather,Hazelnut Chocolate Leather,Eleganta romană. Ciocolată, alune și piele.
Valentino Donna,Valentino,Chypre,Rose Iris Vanilla,Trandafir bulgăresc și iris. Atemporal.
Wanted,Azzaro,Spicy,Lemon Ginger Tonka,Pentru bărbatul care își joacă norocul. Lămâie și ghimbir.
Chrome,Azzaro,Citrus,Lemon Rosemary Pineapple,Prospețime albastră. Un clasic al anilor '90.
Voyage,Nautica,Aquatic,Apple Lotus Cedar,Cel mai popular parfum acvatic fresh de zi cu zi.
Cool Water,Davidoff,Aquatic,Sea-Water Mint Lavender,Parfumul care a definit categoria acvatică.
Layton,Parfums de Marly,Oriental,Apple Vanilla Cardamom,Nobil și captivant. Măr, lavandă și vanilie.
Delina,Parfums de Marly,Floral,Rhubarb Lychee Rose,Un buchet floral modern și feminin.
Reflection Man,Amouage,Woody,Jasmine Neroli Sandalwood,Rafinament și eleganță masculină.
Interlude Man,Amouage,Oriental,Oregano Amber Oud,Haosul albastru. Un parfum extrem de puternic și afumat.